,ID,board_t,env_t,light_strength,efficiency,efficiency_A,efficiency_B,efficiency_C,V_A,V_B,V_C,I_A,I_B,I_C,P_A,P_B,P_C,P_avg,wind_speed,wind_direction,y,predicted_V_A,predicted_V_B,predicted_V_C,predicted_I_A,predicted_I_B,predicted_I_C
2128,4779,3.24,-7.2,132,57.88,60.13,61.1,52.4,610,603,605,7.96,7.74,8.1,4855.6,4667.22,4900.5,4807.77,1.2,275,,701.851685,694.8936687,706.5848444,3.183825417,3.497872523,2.988738983
2130,4782,2.45,-7.2,123,57.56,59.19,60.38,53.1,613,610,608,8.05,8.12,8.06,4934.65,4953.2,4900.48,4929.44,1.1,277,,704.9095226,693.6748549,708.4890091,3.021923978,3.20661601,2.680024141
2131,4783,2.35,-7.3,122,57.35,58.7,60.13,53.23,610,605,602,8.18,8.16,8.14,4989.8,4936.8,4900.28,4942.29,1,252,,704.899805,694.2430503,708.5049583,2.966485371,3.086520689,2.630748528
2132,4785,1.64,-7.2,110,58.63,60.62,61.44,53.84,699,692,696,6.89,6.94,7.04,4816.11,4802.48,4899.84,4839.48,1.1,261,,705.1653569,695.0164505,708.5860268,2.680813186,2.934985738,2.549158431
2206,4987,-2.14,-6.5,57,97.85,96.45,98.49,98.62,679,675,673,7.05,7.14,7.28,4786.95,4819.5,4899.44,4835.3,2.1,276,,705.7304677,702.7929722,701.6222491,2.249274397,2.236468927,2.335299477
2266,5124,-5.77,-13.5,311,43.11,42.78,42.88,43.66,677,674,673,7.04,7.14,7.28,4766.08,4812.36,4899.44,4825.96,0.9,2,,707.3843219,702.6341291,703.5870032,5.32679373,5.340594494,5.486982636
2326,5256,-10.1,-11.2,39,62.15,69.48,70.65,46.33,599,594,591,8.13,8.17,8.29,4869.87,4852.98,4899.39,4874.08,2.2,353,,694.7427628,697.2642264,693.3426492,0.935886809,1.082288336,1.009058411
2353,5339,-4.58,-11.6,348,36.39,34.93,36.13,38.11,655,655,654,8.42,8.42,7.49,5515.1,5515.1,4898.46,5309.55,4,249,,707.4800754,701.2448618,704.5228257,5.058525491,5.001428327,5.152994779
2436,5543,-11.39,-11.3,89,28.44,28.29,28.05,28.98,620,611,616,7.89,7.42,7.95,4891.8,4533.62,4897.2,4774.21,1.6,289,,698.9215317,701.5231118,699.8235787,0.986737409,0.989270358,1.015236617
2589,5853,-3.1,-9.8,334,36.29,37.99,34.86,36.04,598,593,592,8.13,8.06,8.27,4861.74,4779.58,4895.84,4845.72,6,281,,705.4934973,703.7879095,704.1000755,4.735344463,5.082984247,4.973629698
2719,6157,-2.5,-10.5,287,40.03,39.74,39.51,40.85,673,671,667,7.18,7.22,7.34,4832.14,4844.62,4895.78,4857.51,4.5,281,,705.3175709,702.3560747,702.4508233,4.610258011,4.66438757,4.770895852
3481,7762,-10.96,-11.7,128,22.38,21.63,22.1,23.41,597,592,589,8.06,8.1,8.31,4811.82,4795.2,4894.59,4833.87,2.2,67,,703.7802192,702.7930503,702.5317295,1.114778656,1.127237544,1.133275452
3489,7779,-8.37,-10.6,183,23.69,23.25,23.6,24.22,635,630,634,7.96,8.04,7.72,5054.6,5065.2,4894.48,5004.76,0.5,73,,707.7026798,704.2898523,704.9546031,1.696998618,1.83773912,1.74784901
3490,7781,-8.4,-10.6,190,23.48,22.93,23.39,24.12,678,676,676,6.83,6.98,7.24,4630.74,4718.48,4894.24,4747.82,2.7,63,,704.4912413,703.7539721,702.7453736,1.761433561,1.759284845,1.792642666
3568,7941,-12.23,-12.4,67,35.67,35.4,35.43,36.18,620,617,614,7.77,7.67,7.97,4817.4,4732.39,4893.58,4814.46,0,20,,698.9300703,701.4603864,698.3788215,0.924903898,0.933126713,0.967300416
3842,8511,-4.25,-11.2,240,34.8,33.83,34.36,36.21,634,635,633,7.42,7.46,7.73,4704.28,4737.1,4893.09,4778.16,2.1,112,,706.1437038,701.3983257,702.7866678,3.33170084,3.289419277,3.426554454
4133,9118,-4.35,-11.8,382,31.97,31.54,31.86,32.51,666,665,663,6.75,6.56,7.38,4495.5,4362.4,4892.94,4583.61,2.8,276,,705.8044415,703.2342566,701.7827034,4.905363462,4.897771783,5.024670391
4247,9333,-5.43,-10.7,436,30.73,30.88,30.29,31.01,701,693,696,6.81,6.76,7.03,4773.81,4684.68,4892.88,4783.79,1.7,285,,703.9749077,702.5489699,703.3155699,5.275513302,5.38691852,5.460939007
4718,10360,-2.02,-8.7,332,28.36,28.21,27.32,29.57,698,694,694,6.82,6.88,7.05,4760.36,4774.72,4892.7,4809.26,0.1,266,,705.4294478,702.3805102,703.4704254,3.751290545,3.808668701,3.923404472
5243,11335,-4,-7.7,199,28.83,28.43,28.47,29.59,603,609,607,7.93,7.93,8.06,4781.79,4829.37,4892.42,4834.53,3.2,280,,705.5117619,702.3115212,702.2474587,2.287462048,2.28191602,2.370298384
440,971,-4.52,-10.4,128,52.65,53.52,53.59,50.85,597,592,593,7.96,8,8.25,4752.12,4736,4892.25,4793.46,1.5,294,,705.7243174,702.5630693,701.7905247,2.733265299,2.761644762,2.795836187
443,976,-4.31,-9.9,120,45.89,46.3,44.66,46.72,614,612,610,8.07,7.94,8.02,4954.98,4859.28,4892.2,4902.15,1.2,257,,702.404851,701.0591585,701.0851908,2.197113429,2.270080139,2.273701508
575,1266,-4.21,-9.4,231,53.63,53.13,53.51,54.24,674,672,672,6.95,7.05,7.28,4684.3,4737.6,4892.16,4771.35,3.2,292,,703.2134595,700.8310496,701.525826,4.953796088,4.986982791,5.187544442
667,1473,-0.83,-8.3,111,78.89,78.38,78.49,79.81,648,648,647,7.5,7.47,7.56,4860,4840.56,4891.32,4863.96,1.9,272,,703.0869379,700.5857681,701.9488462,3.561305078,3.650468946,3.662853299
671,1485,-4.48,-9.2,7,729.96,737.39,722.19,730.3,649,646,645,7.58,7.48,7.58,4919.42,4832.08,4889.1,4880.2,1.9,282,,705.1325544,702.9534305,702.2814804,2.033400951,2.049133708,2.121825709
690,1556,-3.66,-12.3,243,50.9,49.9,50.73,52.08,626,625,625,7.66,7.68,7.82,4795.16,4800,4887.5,4827.55,1.6,110,,702.2796518,700.8766971,701.1753851,4.955464783,4.989323718,5.159551302
873,1949,-4.73,-13.4,279,43.03,42.55,42.52,44.02,587,589,586,8.24,8.09,8.34,4836.88,4765.01,4887.24,4829.71,2.2,84,,703.4494864,701.2585314,701.1819366,4.787735535,4.810733375,4.942185165
989,2216,-4.43,-8.7,165,52.58,51.88,51.73,54.13,621,619,617,7.86,7.85,7.92,4881.06,4859.15,4886.64,4875.62,2.5,290,,703.8551374,702.5479674,701.8019774,3.445515889,3.565822837,3.562528446
1089,2422,-4.29,-6.9,21,222.7,223.2,220.84,224.06,629,623,624,7.86,7.77,7.83,4943.94,4840.71,4885.92,4890.19,0.4,301,,704.4997977,704.2632154,702.0256489,1.909438523,1.820561503,1.932989899
1111,2480,-4.41,-13,171,59.88,59.05,58.99,61.61,635,638,635,7.47,7.46,7.69,4743.45,4759.48,4883.15,4795.36,2.4,276,,707.4259069,702.5370287,703.4851786,4.053088434,4.093671576,4.232407637
1113,2485,-4.37,-12.2,191,58.74,58.19,58.37,59.66,596,592,589,8.16,8.17,8.29,4863.36,4836.64,4882.81,4860.94,1.5,275,,704.3996731,701.5139233,701.7544074,4.456367828,4.510398962,4.674364386
1288,2854,-3.52,-12.1,144,65.5,64.93,64.84,66.74,644,642,639,7.37,7.59,7.64,4746.28,4872.78,4881.96,4833.67,1.6,281,,706.3497843,699.5771132,701.8214112,3.760013674,3.825351712,3.879923753
1289,2855,-3.1,-11.8,155,62.38,61.19,61.58,64.36,638,637,634,7.5,7.55,7.7,4785,4809.35,4881.8,4825.38,1.7,285,,704.741359,702.1200483,701.664496,3.879245869,3.876240964,4.014170197
1806,4067,-2.1,-9.6,38,126.57,125.67,122.08,131.96,632,625,625,7.86,7.84,7.81,4967.52,4900,4881.25,4916.26,1.2,132,,703.8138153,702.7160254,702.6069758,1.963764949,1.896967086,1.949879754
1851,4169,-3.66,-12,343,34.28,30.01,37.16,35.65,638,636,638,7.62,7.68,7.65,4861.56,4884.48,4880.7,4875.58,2.3,173,,703.9443222,700.3421829,701.0776134,4.982700203,4.311549611,4.624752281
1869,4203,-3.29,-10.2,224,32.15,31.89,32.04,32.52,645,640,643,7.3,7.61,7.59,4708.5,4870.4,4880.37,4819.76,2.9,185,,702.8131432,701.8466531,700.5013707,2.899256595,2.897908936,2.95582273
1870,4205,-3.83,-10,224,30,29.4,29.65,30.95,616,614,610,7.94,7.87,8,4891.04,4832.18,4880,4867.74,1.5,180,,702.3669677,701.3844909,701.0145102,2.738764508,2.685662005,2.72787039
2108,4739,11.56,-6.2,245,34.98,34.1,55.88,14.98,699,694,697,6.76,6.86,7,4725.24,4760.84,4879,4788.36,1.2,263,,704.4758551,662.4108701,685.0353555,3.563298728,5.402239791,2.573168063
2127,4778,3.56,-7,142,56.55,57.29,59.87,52.48,700,694,695,6.81,6.9,7.02,4767,4788.6,4878.9,4811.5,1.1,262,,704.1130754,692.040832,705.6787002,3.391406947,3.737950123,3.134157873
2209,4990,-2.41,-6.9,20,237.46,241.49,233.99,236.9,664,664,661,7.15,7.43,7.38,4747.6,4933.52,4878.18,4853.1,1.3,277,,704.0037338,703.3188401,700.5871675,1.933288111,1.907287674,1.953070956
2268,5126,-6.56,-13.7,326,41.81,41.4,41.34,42.69,673,669,671,6.99,7.1,7.27,4704.27,4749.9,4878.17,4777.45,0.9,4,,704.1982222,701.678927,701.9112371,5.391779531,5.405381976,5.594505724
2319,5243,-5.5,-10.2,171,40.63,38.3,44.5,39.08,618,615,612,7.87,7.93,7.97,4863.66,4876.95,4877.64,4872.75,0,265,,705.6712064,701.7674388,700.7099114,3.019048759,2.675995819,2.908066278
2439,5548,-10.39,-10.9,93,35.77,35.39,38.43,33.48,597,593,591,8.05,8.14,8.25,4805.85,4827.02,4875.75,4836.21,0,302,,707.0272969,706.1004095,702.7216457,1.321439402,1.40202639,1.328569529
2540,5759,-4.27,-11.4,379,37.6,37.17,37.45,38.19,680,677,677,7.09,7.03,7.2,4821.2,4759.31,4874.4,4818.3,3.2,285,,703.2303358,702.4053132,700.6035224,5.683218436,5.706047554,5.87543242
2541,5761,-4.58,-11.2,392,37.3,36.92,37.02,37.96,639,635,633,7.51,7.57,7.7,4798.89,4806.95,4874.1,4826.65,3.1,282,,703.1686844,700.848595,701.1555092,5.827849621,5.779301559,6.004185237
2586,5847,-1.7,-9.4,425,34.43,34.53,33.61,35.16,636,635,637,7.57,7.58,7.65,4814.52,4813.3,4873.05,4833.62,8.6,284,,700.6389433,699.5717523,699.3982085,5.886735493,6.018067549,6.113595685
2631,5956,-4.27,-8.9,297,39.92,39.49,39.46,40.8,624,619,616,7.9,7.91,7.91,4929.6,4896.29,4872.56,4899.48,2.2,290,,704.3983465,701.7805539,701.3046596,4.73770248,4.785530083,4.918213637
2632,5957,-4.1,-8.6,305,39.6,38.92,39.35,40.51,676,671,672,7.16,7.11,7.25,4840.16,4770.81,4872,4827.66,2.7,277,,704.474672,701.4763964,700.7361578,4.81422144,4.839457082,4.965559367
2838,6384,-4.12,-7.5,382,35.64,35.04,35.1,36.79,612,608,609,7.96,7.79,8,4871.52,4736.32,4872,4826.61,5.4,296,,703.9340147,702.6340887,702.0510129,5.470037752,5.499148317,5.496134818
2886,6489,-3.64,-5.5,279,25,29,17.04,28.96,694,692,692,6.88,6.86,7.04,4774.72,4747.12,4871.68,4797.84,1.7,302,,703.320894,700.1981364,703.9668393,2.50018376,3.240122763,3.016056121
3015,6752,-2.85,-10.5,255,37.86,37.65,36.98,38.95,645,640,641,7.39,7.5,7.6,4766.55,4800,4871.6,4812.72,3.1,274,,706.0775868,702.3780102,703.5703777,3.849932402,3.864739319,4.010826174
3017,6755,-2.22,-9.2,286,36.52,36.16,35.92,37.47,644,642,641,7.56,7.31,7.6,4868.64,4693.02,4871.6,4811.09,3.4,263,,703.6658512,701.9049802,701.474542,4.152764053,4.209733307,4.338470709
3405,7596,-5.25,-7,168,18.38,17.18,18.43,19.54,645,635,640,5.94,7.06,7.61,3831.3,4483.1,4870.4,4394.93,0.7,202,,702.7312816,702.5447849,697.5222391,1.23768552,1.1770259,1.125732217
3495,7788,-7.37,-9.7,207,23.44,23.36,23.43,23.52,640,639,639,7.22,7.24,7.62,4620.8,4626.36,4869.18,4705.45,1.4,74,,707.0561876,704.0236463,703.3669618,1.912836886,1.989522562,1.940223796
3496,7789,-7.1,-9.8,219,23.22,22.52,23.09,24.05,598,595,593,7.97,7.71,8.21,4766.06,4587.45,4868.53,4740.68,3.2,84,,704.3641442,703.0776097,702.5553549,2.018485908,1.988495803,2.062078895
3500,7799,-5.16,-8.4,246,24.33,24.27,24.1,24.63,680,679,678,6.63,6.81,7.18,4508.4,4623.99,4868.04,4666.81,2.4,72,,702.5356753,701.7995404,700.7287637,2.406836645,2.388071658,2.45264772
4134,9119,-3.68,-11.3,399,31.01,30.33,30.88,31.81,664,661,665,7.14,7.14,7.32,4740.96,4719.54,4867.8,4776.1,3.2,273,,703.4227755,701.8032373,701.4783828,4.931564326,4.978867936,5.172779174
4522,9945,-4.67,-9,222,22.73,23.38,22.16,22.66,634,632,632,7.77,7.77,7.7,4926.18,4910.64,4866.4,4901.07,1.4,117,,702.8117644,700.6572876,700.8149076,2.033981451,2.038322857,2.070758777
451,992,-2.19,-8.4,204,37.43,37.61,36.04,38.64,643,639,636,7.66,7.69,7.65,4925.38,4913.91,4865.4,4901.56,3.9,276,,704.5431616,702.3894212,701.5701341,3.051130727,3.172491125,3.147746904
452,993,-2.19,-8.4,192,38.81,40.21,37.84,38.38,618,614,612,7.96,7.84,7.95,4919.28,4813.76,4865.4,4866.15,4.4,279,,700.223368,700.4870687,698.8038973,3.003712851,3.239183233,3.088918097
494,1084,-2.98,-6.7,180,57.24,57.12,57.06,57.53,698,692,694,6.84,6.92,7.01,4774.32,4788.64,4864.94,4809.3,2.7,18,,700.7187136,699.7338147,700.4632272,4.12662683,4.213684019,4.310167692
528,1182,-4.54,-12.4,283,51.45,50.97,51.25,52.14,590,587,584,8.05,8.13,8.33,4749.5,4772.31,4864.72,4795.51,4.5,281,,703.0269236,701.009911,700.7468764,5.757143238,5.747802758,6.037307577
529,1186,-3.87,-11.8,302,49.84,49.46,49.42,50.65,609,602,599,8.07,8.14,8.12,4914.63,4900.28,4863.88,4892.93,4.2,285,,700.6618767,699.0475662,699.2285088,6.016931401,6.066565383,6.238826728
669,1479,-1.41,-8.7,15,463.71,461.03,448.94,481.16,629,624,625,7.79,7.84,7.78,4899.91,4892.16,4862.5,4884.86,1.7,271,,702.9509652,700.835034,700.639767,2.806070719,2.830392929,2.860154037
777,1742,-2.85,-10,192,40.08,38.51,39.95,41.79,601,599,598,8.02,8.21,8.13,4820.02,4917.79,4861.74,4866.52,1.8,184,,700.5177864,700.1372548,699.7853937,3.143139046,3.09510715,3.118357792
949,2127,-4.56,-11.4,285,43.92,43.05,43.54,45.16,595,592,590,8.07,8.06,8.24,4801.65,4771.52,4861.6,4811.59,2.3,290,,704.1862148,701.3952892,701.0469168,5.00007534,4.99213148,5.142708279
988,2215,-4.39,-8.5,169,53.5,53.36,53.14,54.01,679,677,676,7.03,7.09,7.19,4773.37,4799.93,4860.44,4811.25,1.1,246,,704.32063,701.5320806,702.0763385,3.610498791,3.630644291,3.748780874
1030,2311,-4.5,-10.5,246,46.73,45.94,45.71,48.56,656,657,654,7.32,7.45,7.43,4801.92,4894.65,4859.22,4851.93,1.4,288,,704.2517693,702.148299,700.9355694,4.556040238,4.592348977,4.712475139
1114,2486,-4.29,-12,209,54.65,53.56,53.96,56.44,699,694,695,6.74,6.87,6.99,4711.26,4767.78,4858.05,4779.03,1.1,266,,702.1169802,701.6477468,700.1078761,4.540724354,4.579800635,4.63556149
1116,2488,-3.6,-11.9,216,53.76,53.19,53.11,54.97,698,694,694,6.85,6.84,7,4781.3,4746.96,4858,4795.42,1.1,273,,700.4901999,701.0860942,699.8646786,4.659319599,4.693387745,4.830207183
1366,3041,-3.52,-10.8,131,68.07,67.12,68.35,68.73,589,589,586,8.21,8.15,8.29,4835.69,4800.35,4857.94,4831.33,1.9,281,,704.6666192,699.0710904,702.0495864,3.568245656,3.645703051,3.726909521
1513,3422,-3.44,-6,188,44.55,43.34,44.01,46.3,671,668,669,7.06,7.09,7.26,4737.26,4736.12,4856.94,4776.77,2.6,37,,700.8979919,700.903094,700.5955638,3.377458453,3.327777794,3.413802032
1589,3591,-12.5,-11.8,49,14.03,12.99,13.95,15.14,650,646,645,7.42,7.52,7.53,4823,4857.92,4856.85,4845.92,0.2,298,,697.9851903,692.525463,690.3049101,0.263354653,1.044812969,0.302379526
1809,4073,-6.12,-10.4,23,128.33,138.68,124.24,122.08,664,661,658,7.09,7.11,7.38,4707.76,4699.71,4856.04,4754.5,1.8,114,,703.9976409,700.9318302,700.8943668,1.14801012,1.177842196,1.292556289
1818,4099,-22.12,-20.2,19,40.73,38.71,38.32,45.16,641,636,638,7.41,7.36,7.61,4749.81,4680.96,4855.18,4761.98,0,48,,698.7203429,691.3172342,695.3845579,0.281309803,0.267159747,0.336846319
1882,4226,-3.98,-9.1,183,32.98,34.61,33.47,30.87,633,631,628,7.59,7.55,7.73,4804.47,4764.05,4854.44,4807.65,2.7,176,,701.6145082,700.0375547,699.4810742,2.505145221,2.461918326,2.537266265
1898,4249,-7.27,-8.8,91,33.07,32.71,33.62,32.88,659,655,656,7.28,7.28,7.4,4797.52,4768.4,4854.4,4806.77,1.8,155,,699.7893542,700.0024332,697.0721896,1.218973585,1.230806885,1.222072063
2089,4702,2.74,-7.3,224,27.77,10.68,61.74,10.89,653,651,648,7.34,7.31,7.49,4793.02,4758.81,4853.52,4801.78,0,173,,703.8824805,683.9982342,674.4146092,1.201395782,2.429576416,1.118557919
2111,4748,6.97,-7.2,180,42.96,50.15,52.32,26.42,629,626,623,7.67,7.7,7.79,4824.43,4820.2,4853.17,4832.6,1.6,265,,690.4773612,686.7276599,700.8876,3.716041029,4.516088035,3.136015928
2112,4752,5.91,-6.7,217,45.33,47.92,55.41,32.67,618,612,612,7.81,7.91,7.93,4826.58,4840.92,4853.16,4840.22,1.5,264,,701.6284851,677.2364337,702.1923242,4.696792412,4.890819571,3.245476338
2114,4755,6.24,-6.6,204,49.3,54.43,56.34,37.12,667,664,662,7.07,7.17,7.33,4715.69,4760.88,4852.46,4776.34,1.8,266,,700.8525546,677.1132017,703.9926407,4.620834714,5.077260855,3.656647914
2117,4760,5.62,-7,163,60.88,66.51,68.93,47.21,699,693,696,6.8,6.88,6.97,4753.2,4767.84,4851.12,4790.72,1.6,245,,702.2680481,676.2203319,704.3950371,4.495877558,4.923665797,3.36941533
2126,4775,4.41,-7.1,150,55.65,56.88,58.81,51.26,699,694,695,6.73,6.93,6.98,4704.27,4809.42,4851.1,4788.26,1.5,263,,702.808754,689.3201307,705.5975261,3.547154137,3.862799229,3.212550606
2207,4988,-2.14,-6.8,24,217.02,220.23,214.09,216.75,698,694,694,6.83,6.88,6.99,4767.34,4774.72,4851.06,4797.71,1.7,276,,706.3135399,702.6278292,702.1251225,2.132165485,2.114753999,2.148685444
2316,5233,-3.71,-10.2,255,43.55,41.68,46.13,42.83,698,692,693,6.85,6.88,7,4781.3,4760.96,4851,4797.75,0.7,19,,699.810333,697.2878734,700.5504305,4.577818045,4.361275083,4.545996553
2317,5241,-5.04,-10.4,190,46.41,46.39,49.19,43.66,694,691,690,6.86,6.85,7.03,4760.84,4733.35,4850.7,4781.63,0.5,304,,702.7041418,696.1528065,700.5916089,3.579640559,3.723607685,3.738502805
2435,5542,-11.54,-11.3,89,27.58,26.23,27.78,28.71,637,634,634,7.66,7.64,7.65,4879.42,4843.76,4850.1,4857.76,1.4,278,,698.6919533,702.1556081,699.0351605,0.976806277,0.971992479,1.007502647
2437,5546,-10.56,-11,82,34.41,34.24,34.45,34.55,696,680,686,3.6,2.83,7.07,2505.6,1924.4,4850.02,3093.34,0.8,276,,703.0189863,702.2184315,702.0465513,1.109570655,1.104259165,1.160511892
2446,5556,-3.5,-8.5,350,35.72,34.3,35.8,37.08,657,654,651,7.15,7.21,7.45,4697.55,4715.34,4849.95,4754.28,1.5,259,,702.3316204,700.1517986,700.9706889,5.061892631,4.983056038,5.095060282
2539,5757,-4.04,-11.7,373,37.45,37.15,37.16,38.05,677,673,668,7.05,7.2,7.26,4772.85,4845.6,4849.68,4822.71,3.3,279,,703.006265,701.5496539,700.9305997,5.560767572,5.616245361,5.779821301
2542,5763,-4.31,-10.9,408,36.83,36.42,36.5,37.57,659,661,658,7.26,7.3,7.37,4784.34,4825.3,4849.46,4819.7,2.9,283,,704.4557592,699.2470312,700.8506937,6.015692834,5.936702993,6.022562242
2587,5851,-3.54,-9.2,360,32.23,29.64,30.12,36.93,598,595,595,7.9,7.83,8.15,4724.2,4658.85,4849.25,4744.1,6.3,264,,704.3445897,703.0759213,701.1471063,4.454550568,4.589567327,4.516994504
2588,5852,-3.66,-9.4,364,36.14,36.32,35.56,36.56,637,633,633,7.7,7.66,7.66,4904.9,4848.78,4848.78,4867.49,5.9,274,,704.219777,701.8700554,702.5184955,5.174498528,5.358286496,5.530933001
2718,6156,-2.6,-10.8,284,39.97,39.36,39.68,40.86,636,637,633,7.41,7.44,7.66,4712.76,4739.28,4848.78,4766.94,3.1,279,,705.3652172,701.8850122,702.0867285,4.544982034,4.568937812,4.69359435
2720,6158,-2.5,-10.5,287,40.41,40.22,39.97,41.05,597,593,592,7.98,7.93,8.19,4764.06,4702.49,4848.48,4771.68,4.5,281,,704.5092643,702.0893263,701.1982019,4.623818505,4.676338541,4.809023446
2841,6389,-3.62,-7.4,413,35.37,35,35.18,35.91,628,629,628,7.74,7.56,7.72,4860.72,4755.24,4848.16,4821.37,4.1,287,,700.7720231,699.5848547,699.2386218,5.878462873,5.90997753,5.981090632
2894,6506,-5.43,-5.6,84,63.73,63.93,61.74,65.54,611,606,606,7.83,7.84,8,4784.13,4751.04,4848,4794.39,1.7,278,,701.6490592,699.714604,702.9654139,2.12766452,2.132793055,2.153866679
2896,6510,-5.43,-5.5,78,52.29,53.55,50.71,52.61,665,663,664,6.97,7.12,7.3,4635.05,4720.56,4847.2,4734.27,1.8,281,,699.414201,700.7033161,698.4609874,1.597620178,1.683596085,1.718604463
3291,7358,-4.12,-11,317,35.2,34.9,34.74,35.97,643,644,642,7.41,7.39,7.55,4764.63,4759.16,4847.1,4790.3,1.6,281,,704.3311469,702.3620042,701.7134764,4.446067667,4.470327628,4.569340508
3487,7773,-9.08,-11,167,23.97,23.36,24.01,24.53,639,641,642,7.34,7.36,7.55,4690.26,4717.76,4847.1,4751.71,0.7,76,,706.066368,703.3535019,703.411471,1.539930505,1.79002802,1.608257509
3499,7798,-5.23,-8.5,240,24.33,24.02,24.43,24.53,639,641,636,7.42,7.5,7.62,4741.38,4807.5,4846.32,4798.4,2.8,78,,703.5017367,700.8206517,699.9332949,2.368799746,2.34358771,2.432641642
3503,7803,-4.5,-8.1,251,23.96,23.7,23.66,24.51,662,662,660,7.11,7.13,7.34,4706.82,4720.06,4844.4,4757.09,2.9,78,,702.2667649,700.9672188,700.5244063,2.392218939,2.392864529,2.460027334
3504,7804,-4.44,-7.7,254,24.04,23.9,23.83,24.38,696,696,693,6.77,6.84,6.99,4711.92,4760.64,4844.07,4772.21,4.1,65,,702.9899278,701.1417635,700.3535124,2.478722879,2.447989928,2.49134501
3567,7939,-12.6,-12.5,66,35.47,35.88,35.8,34.72,661,664,659,6.71,7.28,7.35,4435.31,4833.92,4843.65,4704.29,0,309,,705.6427728,704.1417254,705.196385,0.919065186,0.976021076,0.938301156
3575,7961,-3.83,-9.4,233,34.79,34.6,34.49,35.29,662,661,659,7.14,7.2,7.35,4726.68,4759.2,4843.65,4776.51,0,58,,704.2784325,701.8648879,701.5203904,3.260227524,3.263739004,3.381094133
3716,8269,-6.43,-6.5,119,18.84,18.87,18.76,18.89,644,643,639,7.57,7.42,7.58,4875.08,4771.06,4843.62,4829.92,2.7,356,,703.8053433,706.0005981,703.6530131,0.900765712,0.878742648,0.898354293
3843,8512,-3.14,-10.9,253,35.38,35.49,34.95,35.69,622,615,617,7.57,7.69,7.85,4708.54,4729.35,4843.45,4760.45,1.1,141,,703.7187504,701.4508989,700.8904667,3.571532642,3.633317683,3.71383803
4409,9682,-0.41,-7.2,292,26.47,18.83,24.2,36.37,600,596,592,8.02,7.89,8.18,4812,4702.44,4842.56,4785.67,1.3,106,,703.4023768,703.6204667,702.7957055,3.105429997,3.236825091,2.640106534
4524,9954,-3.91,-8.5,238,23.64,23.49,23.52,23.9,652,650,650,7.33,7.34,7.45,4779.16,4771,4842.5,4797.55,2.4,117,,704.4179472,700.8902872,701.3435258,2.241480176,2.268512981,2.305615485
5130,11123,-4.58,-6.1,177,29.02,29.55,28.89,28.61,605,603,600,7.93,8.01,8.07,4797.65,4830.03,4842,4823.23,0.7,346,,705.1499908,702.4743984,701.9240439,2.096062261,2.055968389,2.153396273
5131,11124,-4.58,-6,186,28.57,28.65,28.8,28.27,647,642,643,7.47,7.52,7.53,4833.09,4827.84,4841.79,4834.24,1.9,76,,702.5926857,700.6194593,700.1588977,2.162134541,2.143297052,2.205293359
5244,11336,-3.2,-7.4,208,29.75,30.6,29.57,29.06,596,591,589,8.02,8.02,8.22,4779.92,4739.82,4841.58,4787.11,2.8,275,,704.4250556,701.9767924,700.2685212,2.54395891,2.467233719,2.561048533
14,36,-3.98,-12.4,194,55.5,54.5,55.11,56.89,645,639,637,7.2,7.43,7.6,4644,4747.77,4841.2,4744.32,1.2,285,,702.981504,700.2164274,699.7819448,4.281992437,4.328350675,4.442755429
348,790,-5.18,-10,144,59.02,55.98,62.11,58.98,637,633,632,7.74,7.78,7.66,4930.38,4924.74,4841.12,4898.75,0,42,,708.4640553,695.0170408,706.3180479,3.408974466,3.295936192,3.463267863
445,979,-3.7,-9.6,150,49.54,48.54,50.91,49.17,661,659,655,7.09,7.13,7.39,4686.49,4698.67,4840.45,4741.87,1.3,251,,704.548326,700.7399793,700.8421994,3.029342173,2.912090171,3.049864215
535,1196,-4.98,-10.5,342,47.8,47.55,47.34,48.5,679,675,676,6.93,7.05,7.16,4705.47,4758.75,4840.16,4768.13,3.1,1,,701.6548893,697.0311164,697.8581085,6.504409177,6.560535625,6.718477304
566,1252,-3.72,-9.2,297,48.73,48.37,48.3,49.52,648,648,647,7.02,7.47,7.48,4548.96,4840.56,4839.56,4743.03,3.6,275,,698.5439053,697.2325137,697.2066333,5.816485518,5.87755055,5.99791256
574,1265,-4.06,-9.4,231,54.77,54.34,54.54,55.44,637,634,635,7.52,7.52,7.62,4790.24,4767.68,4838.7,4798.87,3.2,292,,701.5707368,700.2172467,699.0091709,5.039586435,5.157479349,5.220620697
614,1361,-3.7,-15.1,233,56.29,56.35,56.09,56.43,598,596,595,7.99,7.91,8.13,4778.02,4714.36,4837.35,4776.58,2,277,,703.555127,699.4358236,701.811093,5.280848444,5.374797699,5.36672932
776,1740,-3.46,-10.6,181,42.18,41.83,42.36,42.37,597,595,595,7.98,7.9,8.13,4764.06,4700.5,4837.35,4767.3,0.8,159,,704.5932505,702.8284643,701.4227538,3.055504586,3.186041463,3.146799227
986,2209,-3.14,-8.4,202,49.8,49.63,49.32,50.46,627,623,620,7.85,7.79,7.8,4921.95,4853.17,4836,4870.37,3,286,,702.7419084,700.1496435,700.986859,4.041527798,4.049129922,4.201203113
1031,2313,-4.37,-10.7,250,45.16,44.03,45.26,46.21,602,598,597,7.98,7.69,8.1,4803.96,4598.62,4835.7,4746.09,2.5,274,,702.4576057,700.8136839,698.5046656,4.559158644,4.512789325,4.465695926
